ID,INFOR,CHOICE
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 112, 'Car': 117, 'Swissmetro': 63}, Travel cost: {'Train': 48, 'Car': 65, 'Swissmetro': 52}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 103, 'Car': 117, 'Swissmetro': 60}, Travel cost: {'Train': 48, 'Car': 84, 'Swissmetro': 49}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 130, 'Car': 117, 'Swissmetro': 67}, Travel cost: {'Train': 48, 'Car': 52, 'Swissmetro': 58}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 103, 'Car': 72, 'Swissmetro': 63}, Travel cost: {'Train': 40, 'Car': 52, 'Swissmetro': 52}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 130, 'Car': 90, 'Swissmetro': 63}, Travel cost: {'Train': 36, 'Car': 84, 'Swissmetro': 42}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 112, 'Car': 90, 'Swissmetro': 60}, Travel cost: {'Train': 36, 'Car': 52, 'Swissmetro': 49}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 103, 'Car': 72, 'Swissmetro': 67}, Travel cost: {'Train': 48, 'Car': 65, 'Swissmetro': 58}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 103, 'Car': 90, 'Swissmetro': 67}, Travel cost: {'Train': 36, 'Car': 65, 'Swissmetro': 43}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",1
1,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 130, 'Car': 72, 'Swissmetro': 60}, Travel cost: {'Train': 40, 'Car': 65, 'Swissmetro': 46}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 58, 'Car': 105, 'Swissmetro': 29}, Travel cost: {'Train': 32, 'Car': 40, 'Swissmetro': 35}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 58, 'Car': 136, 'Swissmetro': 25}, Travel cost: {'Train': 29, 'Car': 50, 'Swissmetro': 38}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 58, 'Car': 136, 'Swissmetro': 27}, Travel cost: {'Train': 32, 'Car': 65, 'Swissmetro': 40}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 47, 'Car': 84, 'Swissmetro': 25}, Travel cost: {'Train': 29, 'Car': 65, 'Swissmetro': 38}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 51, 'Car': 136, 'Swissmetro': 25}, Travel cost: {'Train': 32, 'Car': 40, 'Swissmetro': 36}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 51, 'Car': 84, 'Swissmetro': 25}, Travel cost: {'Train': 38, 'Car': 40, 'Swissmetro': 42}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 51, 'Car': 84, 'Swissmetro': 27}, Travel cost: {'Train': 29, 'Car': 50, 'Swissmetro': 32}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 51, 'Car': 105, 'Swissmetro': 27}, Travel cost: {'Train': 32, 'Car': 50, 'Swissmetro': 40}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
3,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 58, 'Car': 84, 'Swissmetro': 27}, Travel cost: {'Train': 38, 'Car': 65, 'Swissmetro': 42}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income between 50000 and 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 138, 'Car': 135, 'Swissmetro': 65}, Travel cost: {'Train': 40, 'Car': 80, 'Swissmetro': 45}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 138, 'Car': 175, 'Swissmetro': 61}, Travel cost: {'Train': 40, 'Car': 130, 'Swissmetro': 52}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 138, 'Car': 175, 'Swissmetro': 58}, Travel cost: {'Train': 36, 'Car': 100, 'Swissmetro': 49}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 105, 'Car': 108, 'Swissmetro': 58}, Travel cost: {'Train': 36, 'Car': 130, 'Swissmetro': 49}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 175, 'Swissmetro': 58}, Travel cost: {'Train': 40, 'Car': 80, 'Swissmetro': 46}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 108, 'Swissmetro': 61}, Travel cost: {'Train': 36, 'Car': 100, 'Swissmetro': 42}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 108, 'Swissmetro': 58}, Travel cost: {'Train': 48, 'Car': 80, 'Swissmetro': 50}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 138, 'Car': 108, 'Swissmetro': 61}, Travel cost: {'Train': 48, 'Car': 130, 'Swissmetro': 52}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
4,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 135, 'Swissmetro': 61}, Travel cost: {'Train': 40, 'Car': 100, 'Swissmetro': 52}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, male, between 24 and 39 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 70, 'Swissmetro': 46}, Travel cost: {'Train': 35, 'Car': 35, 'Swissmetro': 38}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 95, 'Car': 91, 'Swissmetro': 49}, Travel cost: {'Train': 26, 'Car': 28, 'Swissmetro': 29}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 116, 'Car': 56, 'Swissmetro': 53}, Travel cost: {'Train': 26, 'Car': 28, 'Swissmetro': 32}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 102, 'Car': 91, 'Swissmetro': 53}, Travel cost: {'Train': 26, 'Car': 45, 'Swissmetro': 32}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 102, 'Car': 56, 'Swissmetro': 53}, Travel cost: {'Train': 29, 'Car': 45, 'Swissmetro': 32}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
6,"The travel time and cost for each mode is expressed as the following dictionary format: {Travel time: {'Train': 95, 'Car': 91, 'Swissmetro': 53}, Travel cost: {'Train': 29, 'Car': 35, 'Swissmetro': 32}}. With cost in CHF, time in minutes. The travel purpose is Commuter and ticket is Two way with half price card. The person is a regular Train user, female, between 39 and 54 years old and income over 100000 CHF per year. ",2
