ID,INFOR,CHOICE
10350017,"The trip distance is 30.0 km, and trip purpose is professional trip. There are three travel mode for traveler to choose: 1. Public transport: travel time is 85 minutes, and the travel cost is 12.4 CHF with a total of 4 transfers. 2. Driving: travel time is 32 minutes, and the travel cost is 4.54 CHF. 3. Soft modes is free of charge. Traveler is 27 year old, male, with an academic Bachelor’s or Master’s degree from a university or institute of technology and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 1 car, 0 motorcycle, 3 bicycles and sometime has a car to go out.",1
10350075,"The trip distance is 25.0 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 107 minutes, and the travel cost is 24.0 CHF with a total of 3 transfers. 2. Driving: travel time is 23 minutes, and the travel cost is 3.38 CHF. 3. Soft modes is free of charge. Traveler is 63 year old, female, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 2501 to 4000 CHF. The person's household owns 1 car, 0 motorcycle, 0 bicycle and always has a car to go out.",1
10350085,"The trip distance is 12.5 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 190 minutes, and the travel cost is 10.8 CHF with a total of 5 transfers. 2. Driving: travel time is 14 minutes, and the travel cost is 1.66 CHF. 3. Soft modes is free of charge. Traveler is 57 year old, male, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 2 cars, 0 motorcycle, 3 bicycles and always has a car to go out.",1
10350086,"The trip distance is 19.0 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 116 minutes, and the travel cost is 9.6 CHF with a total of 4 transfers. 2. Driving: travel time is 20 minutes, and the travel cost is 2.71 CHF. 3. Soft modes is free of charge. Traveler is 58 year old, female, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 2 cars, 0 motorcycle, 3 bicycles and sometime has a car to go out.",1
10350100,"The trip distance is 13.0 km, and trip purpose is shopping. There are three travel mode for traveler to choose: 1. Public transport: travel time is 20 minutes, and the travel cost is 3.0 CHF with a total of 1 transfer. 2. Driving: travel time is 9 minutes, and the travel cost is 1.63 CHF. 3. Soft modes is free of charge. Traveler is 80 year old, male, with a generalist secondary education diploma (3-year program, ECG) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 1 car, 0 motorcycle, 0 bicycle and always has a car to go out.",1
10350120,"The trip distance is 45.0 km, and trip purpose is shopping. There are three travel mode for traveler to choose: 1. Public transport: travel time is 116 minutes, and the travel cost is 24.8 CHF with a total of 4 transfers. 2. Driving: travel time is 33 minutes, and the travel cost is 6.98 CHF. 3. Soft modes is free of charge. Traveler is 64 year old, female, with a generalist secondary education diploma (3-year program, ECG) and the person's household monthly income is from 8001 to 10000 CHF. The person's household owns 1 car, 0 motorcycle, 2 bicycles and always has a car to go out.",1
10350125,"The trip distance is 7.0 km, and trip purpose is shopping. There are three travel mode for traveler to choose: 1. Public transport: travel time is 35 minutes, and the travel cost is 4.8 CHF with a total of 1 transfer. 2. Driving: travel time is 9 minutes, and the travel cost is 0.99 CHF. 3. Soft modes is free of charge. Traveler is 68 year old, female, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 1 car, 0 motorcycle, 0 bicycle and always has a car to go out.",1
10350125,"The trip distance is 1.0 km, and trip purpose is other. There are three travel mode for traveler to choose: 1. Public transport: travel time is 11 minutes, and the travel cost is 2.2 CHF with a total of 0 transfer. 2. Driving: travel time is 1 minutes, and the travel cost is 0.19 CHF. 3. Soft modes is free of charge. Traveler is 68 year old, female, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 1 car, 0 motorcycle, 0 bicycle and always has a car to go out.",1
10350133,"The trip distance is 27.0 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 92 minutes, and the travel cost is 11.0 CHF with a total of 3 transfers. 2. Driving: travel time is 27 minutes, and the travel cost is 3.88 CHF. 3. Soft modes is free of charge. Traveler is 59 year old, male, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 2501 to 4000 CHF. The person's household owns 1 car, 0 motorcycle, 2 bicycles and always has a car to go out.",1
10350197,"The trip distance is 26.0 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 124 minutes, and the travel cost is 11.0 CHF with a total of 5 transfers. 2. Driving: travel time is 22 minutes, and the travel cost is 3.5 CHF. 3. Soft modes is free of charge. Traveler is 30 year old, male, with a doctoral degree (PhD) and the person's household monthly income is more than 10001 CHF. The person's household owns 2 cars, 0 motorcycle, 1 bicycle and always has a car to go out.",1
10350199,"The trip distance is 22.0 km, and trip purpose is shopping. There are three travel mode for traveler to choose: 1. Public transport: travel time is 123 minutes, and the travel cost is 9.4 CHF with a total of 4 transfers. 2. Driving: travel time is 19 minutes, and the travel cost is 2.91 CHF. 3. Soft modes is free of charge. Traveler is 33 year old, female, with a Bachelor’s or Master’s degree from a university of applied sciences or professional school and the person's household monthly income is from 8001 to 10000 CHF. The person's household owns 2 cars, 0 motorcycle, 2 bicycles and always has a car to go out.",1
10350199,"The trip distance is 11.0 km, and trip purpose is shopping. There are three travel mode for traveler to choose: 1. Public transport: travel time is 80 minutes, and the travel cost is 4.8 CHF with a total of 2 transfers. 2. Driving: travel time is 12 minutes, and the travel cost is 1.62 CHF. 3. Soft modes is free of charge. Traveler is 33 year old, female, with a Bachelor’s or Master’s degree from a university of applied sciences or professional school and the person's household monthly income is from 8001 to 10000 CHF. The person's household owns 2 cars, 0 motorcycle, 2 bicycles and always has a car to go out.",1
10350272,"The trip distance is 55.0 km, and trip purpose is work. There are three travel mode for traveler to choose: 1. Public transport: travel time is 266 minutes, and the travel cost is 37.2 CHF with a total of 3 transfers. 2. Driving: travel time is 51 minutes, and the travel cost is 7.65 CHF. 3. Soft modes is free of charge. Traveler is 42 year old, male, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 2 cars, 0 motorcycle, 3 bicycles and always has a car to go out.",1
10350272,"The trip distance is 49.5 km, and trip purpose is personal business. There are three travel mode for traveler to choose: 1. Public transport: travel time is 250 minutes, and the travel cost is 11.0 CHF with a total of 5 transfers. 2. Driving: travel time is 40 minutes, and the travel cost is 7.39 CHF. 3. Soft modes is free of charge. Traveler is 42 year old, male, with a vocational education diploma (Federal Certificate of Capacity – CFC) and the person's household monthly income is from 6001 to 8000 CHF. The person's household owns 2 cars, 0 motorcycle, 3 bicycles and always has a car to go out.",1
